hazard_type,return_period,baseline_water_level_m,source_note,gev_shape,gev_loc_mm,gev_scale_mm,datum_note
fluvial,5,1.8584,GloFAS v4 Reanalysis via Open-Meteo Flood API (10.98N 106.65E); GEV fit to 28 annual maxima of daily discharge (1997-2024); Manning w=200.0m n=0.035 S=0.00015; xi=0.3000 mu=521.8m3s sigma=153.3m3s; bankfull_subtraction Q=321m3s depth=2.494m,0.3,521.796047256981,153.27148440961724,relative_stage_above_bankfull_m; height_above_normal_water_level_compatible_with_HAND_model
fluvial,10,2.4798,GloFAS v4 Reanalysis via Open-Meteo Flood API (10.98N 106.65E); GEV fit to 28 annual maxima of daily discharge (1997-2024); Manning w=200.0m n=0.035 S=0.00015; xi=0.3000 mu=521.8m3s sigma=153.3m3s; bankfull_subtraction Q=321m3s depth=2.494m,0.3,521.796047256981,153.27148440961724,relative_stage_above_bankfull_m; height_above_normal_water_level_compatible_with_HAND_model
fluvial,25,3.3961,GloFAS v4 Reanalysis via Open-Meteo Flood API (10.98N 106.65E); GEV fit to 28 annual maxima of daily discharge (1997-2024); Manning w=200.0m n=0.035 S=0.00015; xi=0.3000 mu=521.8m3s sigma=153.3m3s; bankfull_subtraction Q=321m3s depth=2.494m,0.3,521.796047256981,153.27148440961724,relative_stage_above_bankfull_m; height_above_normal_water_level_compatible_with_HAND_model
fluvial,50,4.185,GloFAS v4 Reanalysis via Open-Meteo Flood API (10.98N 106.65E); GEV fit to 28 annual maxima of daily discharge (1997-2024); Manning w=200.0m n=0.035 S=0.00015; xi=0.3000 mu=521.8m3s sigma=153.3m3s; bankfull_subtraction Q=321m3s depth=2.494m,0.3,521.796047256981,153.27148440961724,relative_stage_above_bankfull_m; height_above_normal_water_level_compatible_with_HAND_model
fluvial,100,5.0739,GloFAS v4 Reanalysis via Open-Meteo Flood API (10.98N 106.65E); GEV fit to 28 annual maxima of daily discharge (1997-2024); Manning w=200.0m n=0.035 S=0.00015; xi=0.3000 mu=521.8m3s sigma=153.3m3s; bankfull_subtraction Q=321m3s depth=2.494m,0.3,521.796047256981,153.27148440961724,relative_stage_above_bankfull_m; height_above_normal_water_level_compatible_with_HAND_model
fluvial,200,6.0783,GloFAS v4 Reanalysis via Open-Meteo Flood API (10.98N 106.65E); GEV fit to 28 annual maxima of daily discharge (1997-2024); Manning w=200.0m n=0.035 S=0.00015; xi=0.3000 mu=521.8m3s sigma=153.3m3s; bankfull_subtraction Q=321m3s depth=2.494m,0.3,521.796047256981,153.27148440961724,relative_stage_above_bankfull_m; height_above_normal_water_level_compatible_with_HAND_model
fluvial,500,7.6119,GloFAS v4 Reanalysis via Open-Meteo Flood API (10.98N 106.65E); GEV fit to 28 annual maxima of daily discharge (1997-2024); Manning w=200.0m n=0.035 S=0.00015; xi=0.3000 mu=521.8m3s sigma=153.3m3s; bankfull_subtraction Q=321m3s depth=2.494m,0.3,521.796047256981,153.27148440961724,relative_stage_above_bankfull_m; height_above_normal_water_level_compatible_with_HAND_model
fluvial,1000,8.0,GloFAS v4 Reanalysis via Open-Meteo Flood API (10.98N 106.65E); GEV fit to 28 annual maxima of daily discharge (1997-2024); Manning w=200.0m n=0.035 S=0.00015; xi=0.3000 mu=521.8m3s sigma=153.3m3s; bankfull_subtraction Q=321m3s depth=2.494m,0.3,521.796047256981,153.27148440961724,relative_stage_above_bankfull_m; height_above_normal_water_level_compatible_with_HAND_model
pluvial,2,0.0,ERA5-Land via Open-Meteo Archive (10.8231N 106.6297E); GEV fit to 24 annual maxima of 6h rolling precipitation (2001-2024); drain_capacity=70.0mm; runoff_coeff=0.78; depression_area_fraction=0.2; xi=0.3000 mu=27.084mm sigma=5.452mm,0.3,27.08377361366328,5.4519590223289605,"excess_depth_m (post-drain rain depth, m); downstream flood_depth_pluvial_fillspill multiplies by the per-cell runoff coefficient and routes it by catchment."
pluvial,5,0.0,ERA5-Land via Open-Meteo Archive (10.8231N 106.6297E); GEV fit to 24 annual maxima of 6h rolling precipitation (2001-2024); drain_capacity=70.0mm; runoff_coeff=0.78; depression_area_fraction=0.2; xi=0.3000 mu=27.084mm sigma=5.452mm,0.3,27.08377361366328,5.4519590223289605,"excess_depth_m (post-drain rain depth, m); downstream flood_depth_pluvial_fillspill multiplies by the per-cell runoff coefficient and routes it by catchment."
pluvial,10,0.0,ERA5-Land via Open-Meteo Archive (10.8231N 106.6297E); GEV fit to 24 annual maxima of 6h rolling precipitation (2001-2024); drain_capacity=70.0mm; runoff_coeff=0.78; depression_area_fraction=0.2; xi=0.3000 mu=27.084mm sigma=5.452mm,0.3,27.08377361366328,5.4519590223289605,"excess_depth_m (post-drain rain depth, m); downstream flood_depth_pluvial_fillspill multiplies by the per-cell runoff coefficient and routes it by catchment."
pluvial,25,0.0,ERA5-Land via Open-Meteo Archive (10.8231N 106.6297E); GEV fit to 24 annual maxima of 6h rolling precipitation (2001-2024); drain_capacity=70.0mm; runoff_coeff=0.78; depression_area_fraction=0.2; xi=0.3000 mu=27.084mm sigma=5.452mm,0.3,27.08377361366328,5.4519590223289605,"excess_depth_m (post-drain rain depth, m); downstream flood_depth_pluvial_fillspill multiplies by the per-cell runoff coefficient and routes it by catchment."
pluvial,50,0.0,ERA5-Land via Open-Meteo Archive (10.8231N 106.6297E); GEV fit to 24 annual maxima of 6h rolling precipitation (2001-2024); drain_capacity=70.0mm; runoff_coeff=0.78; depression_area_fraction=0.2; xi=0.3000 mu=27.084mm sigma=5.452mm,0.3,27.08377361366328,5.4519590223289605,"excess_depth_m (post-drain rain depth, m); downstream flood_depth_pluvial_fillspill multiplies by the per-cell runoff coefficient and routes it by catchment."
pluvial,100,0.0111504801415154,ERA5-Land via Open-Meteo Archive (10.8231N 106.6297E); GEV fit to 24 annual maxima of 6h rolling precipitation (2001-2024); drain_capacity=70.0mm; runoff_coeff=0.78; depression_area_fraction=0.2; xi=0.3000 mu=27.084mm sigma=5.452mm,0.3,27.08377361366328,5.4519590223289605,"excess_depth_m (post-drain rain depth, m); downstream flood_depth_pluvial_fillspill multiplies by the per-cell runoff coefficient and routes it by catchment."
pluvial,200,0.0279154786896531,ERA5-Land via Open-Meteo Archive (10.8231N 106.6297E); GEV fit to 24 annual maxima of 6h rolling precipitation (2001-2024); drain_capacity=70.0mm; runoff_coeff=0.78; depression_area_fraction=0.2; xi=0.3000 mu=27.084mm sigma=5.452mm,0.3,27.08377361366328,5.4519590223289605,"excess_depth_m (post-drain rain depth, m); downstream flood_depth_pluvial_fillspill multiplies by the per-cell runoff coefficient and routes it by catchment."
pluvial,500,0.056127935962607,ERA5-Land via Open-Meteo Archive (10.8231N 106.6297E); GEV fit to 24 annual maxima of 6h rolling precipitation (2001-2024); drain_capacity=70.0mm; runoff_coeff=0.78; depression_area_fraction=0.2; xi=0.3000 mu=27.084mm sigma=5.452mm,0.3,27.08377361366328,5.4519590223289605,"excess_depth_m (post-drain rain depth, m); downstream flood_depth_pluvial_fillspill multiplies by the per-cell runoff coefficient and routes it by catchment."
pluvial,1000,0.0832437491118303,ERA5-Land via Open-Meteo Archive (10.8231N 106.6297E); GEV fit to 24 annual maxima of 6h rolling precipitation (2001-2024); drain_capacity=70.0mm; runoff_coeff=0.78; depression_area_fraction=0.2; xi=0.3000 mu=27.084mm sigma=5.452mm,0.3,27.08377361366328,5.4519590223289605,"excess_depth_m (post-drain rain depth, m); downstream flood_depth_pluvial_fillspill multiplies by the per-cell runoff coefficient and routes it by catchment."
